pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,maximin,7,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,8,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,9,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,eps_cell,0,100,1.0,99.0,0.06606636755069442,0.008335221524154016,0.18596468640239233,0.28902318061531007,0.18125000000000002,0.82,0.147625,0.3611617858072595,0.18596468640239233,0.2577905446438579,0.0,0.007
pool,eps_cell,1,100,1.0,99.0,0.06199016514483499,0.00995950842799489,0.21175509875519472,0.26217630663872793,0.2,0.86,0.163875,0.37610921866298164,0.2117550987551947,0.24760796926846806,0.0,0.007
pool,eps_cell,2,100,1.0,99.0,0.060656642285127224,0.009620618092029196,0.1836097858275093,0.2912920130397182,0.19125,0.81,0.15081250000000002,0.3631229669089493,0.1836097858275093,0.27140179782024204,0.0,0.007
pool,eps_cell,3,100,1.0,99.0,0.06122578761838716,0.008502928241142259,0.21972705723016878,0.26288110520980007,0.20375000000000001,0.79,0.1554375,0.3616352203239433,0.21972705723016878,0.24393676880817228,0.0,0.007
pool,eps_cell,4,100,1.0,99.0,0.060746935314800014,0.009667394999603268,0.18255623885119912,0.2785301684791368,0.18875,0.79,0.15131250000000002,0.36036592010000557,0.18255623885119912,0.25671092002543794,0.0,0.007
pool,eps_cell,5,100,1.0,99.0,0.0524228214708931,0.010240786546326104,0.1358190567022444,0.278703854757241,0.21250000000000002,0.89,0.1610625,0.35521132261097604,0.1358190567022444,0.2613558558796953,0.0,0.007
pool,eps_cell,6,100,1.0,99.0,0.06359844870339071,0.009836144678699997,0.16290720486479207,0.2954234273275297,0.19,0.81,0.1701875,0.34818086452295305,0.16290720486479207,0.2788901628945233,0.0,0.007
pool,eps_cell,7,100,1.0,99.0,0.06585646582530291,0.00967908580259428,0.16290720486479207,0.29315694446199986,0.17375,0.75,0.14237499999999997,0.3557957744080207,0.16290720486479207,0.27614852310145876,0.0,0.007
pool,eps_cell,8,100,1.0,99.0,0.05825611094250544,0.009688006622689826,0.1358190567022444,0.24703201570768632,0.19625,0.82,0.169375,0.3573013639602655,0.1358190567022444,0.22612042267493437,0.0,0.007
pool,eps_cell,9,100,1.0,99.0,0.07212276096438579,0.008665497917404522,0.14973595749394286,0.2965716288099886,0.16875,0.77,0.1635625,0.36296061401182944,0.14973595749394286,0.26976910330808895,0.0,0.007
